epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.413,1.90395,7.2887,1.41299,0.00291,0.64548,0.08766,0.05079,1.41391,3.09508,1.12502,0.000235167,0.000235167,0.000235167
2,39.6441,1.68129,5.408,1.30827,0.6281,0.11162,0.12049,0.06296,1.49693,4.8217,1.27112,0.000463798,0.000463798,0.000463798
3,59.4597,1.7568,6.00758,1.37417,0.54966,0.16228,0.14527,0.07456,1.54138,2.96714,1.32647,0.000683004,0.000683004,0.000683004
4,77.541,1.77652,5.34824,1.36772,0.49248,0.25882,0.14874,0.08457,1.39763,4.56298,1.16277,0.000671588,0.000671588,0.000671588
5,94.8994,1.64916,5.01081,1.3523,0.53026,0.17902,0.19893,0.1038,1.34359,2.30593,1.15571,0.000657451,0.000657451,0.000657451
6,112.338,1.7291,4.87481,1.35035,0.58273,0.26852,0.22819,0.10889,1.40866,2.12516,1.1799,0.000643314,0.000643314,0.000643314
7,129.683,1.70481,3.70763,1.3691,0.47886,0.35651,0.21999,0.10254,1.41004,3.53166,1.1572,0.000629177,0.000629177,0.000629177
8,147.314,1.6481,3.94375,1.36967,0.64982,0.19081,0.22068,0.12497,1.28614,2.11953,1.13935,0.00061504,0.00061504,0.00061504
9,164.828,1.60172,3.55297,1.35407,0.45411,0.29223,0.27308,0.15616,1.3232,2.11568,1.16812,0.000600902,0.000600902,0.000600902
10,182.13,1.65893,4.18844,1.32767,0.41105,0.22515,0.26036,0.16066,1.29121,1.88154,1.12653,0.000586765,0.000586765,0.000586765
11,199.596,1.64366,3.07639,1.3437,0.48817,0.25333,0.28371,0.15843,1.33473,1.85997,1.13419,0.000572628,0.000572628,0.000572628
12,217.014,1.56508,2.73461,1.32087,0.42398,0.28086,0.27904,0.15729,1.21748,2.06362,1.07843,0.000558491,0.000558491,0.000558491
13,234.453,1.54177,2.58884,1.32882,0.44155,0.23956,0.29571,0.16987,1.28517,1.74581,1.14998,0.000544354,0.000544354,0.000544354
14,251.411,1.52915,2.53006,1.29268,0.27173,0.29851,0.31562,0.1813,1.26048,1.85008,1.10125,0.000530216,0.000530216,0.000530216
15,268.266,1.44378,2.77821,1.22541,0.2593,0.42499,0.31084,0.1631,1.30122,1.82356,1.13669,0.000516079,0.000516079,0.000516079
16,285.198,1.54178,2.36022,1.30744,0.55486,0.29864,0.32142,0.18943,1.17865,2.06415,1.09413,0.000501942,0.000501942,0.000501942
17,302.12,1.60925,2.66153,1.30603,0.46384,0.30283,0.30147,0.17319,1.25321,1.88019,1.10973,0.000487805,0.000487805,0.000487805
18,319.117,1.45713,2.1034,1.24013,0.28945,0.3896,0.33563,0.1713,1.33364,1.75237,1.11519,0.000473668,0.000473668,0.000473668
19,336.67,1.52541,2.25925,1.20479,0.54035,0.27189,0.33767,0.19274,1.26775,1.55964,1.13244,0.00045953,0.00045953,0.00045953
20,355,1.4482,2.13133,1.24501,0.43603,0.39912,0.32473,0.18138,1.29164,1.81854,1.13542,0.000445393,0.000445393,0.000445393
